536,878,-201,-807,-199,-338
549,884,-174,-827,-182,-300
553,888,-148,-836,-176,-264
552,891,-122,-830,-174,-230
550,893,-94,-817,-171,-198
549,894,-62,-799,-167,-171
548,893,-25,-779,-162,-151
547,888,13,-762,-154,-137
544,882,50,-748,-138,-127
542,874,85,-734,-113,-121
535,865,114,-717,-77,-119
528,854,139,-695,-38,-120
519,843,159,-668,-6,-124
510,835,172,-630,6,-130
504,831,183,-585,1,-138
499,826,195,-532,-11,-145
499,822,209,-482,-22,-151
499,817,224,-438,-24,-154
500,815,235,-404,-18,-154
503,814,243,-376,-14,-150
505,812,248,-351,-17,-143
507,810,253,-326,-25,-131
508,809,256,-301,-33,-117
511,809,258,-275,-45,-102
515,807,263,-249,-65,-88
519,805,269,-227,-83,-76
522,804,273,-209,-95,-67
524,801,276,-194,-102,-59
520,798,279,-181,-110,-51
512,792,281,-171,-124,-41
502,787,283,-164,-145,-29
493,785,283,-157,-170,-15
487,787,283,-150,-198,-3
484,783,293,-152,-234,5
492,779,316,-169,-272,3
500,770,349,-208,-293,-7
509,762,384,-256,-292,-23
525,750,428,-304,-289,-45
544,727,485,-342,-285,-71
574,692,575,-364,-277,-102
626,638,688,-365,-255,-132
737,532,819,-305,-194,-161
867,408,925,-155,-94,-190
1014,298,968,113,40,-224
1151,236,959,503,214,-269
1256,198,884,907,427,-310
1320,192,713,1300,689,-290
1301,165,508,1649,830,-163
1257,169,269,1929,782,149
1265,212,48,2140,630,534
1320,243,-81,2234,499,861
1333,240,-168,2217,487,1049
1242,215,-245,2072,585,1107
1114,195,-347,1882,687,1125
982,178,-463,1694,759,1128
855,169,-565,1538,791,1119
735,168,-647,1417,801,1101
628,176,-704,1324,781,1071
539,189,-744,1244,734,1028
469,206,-767,1159,651,961
413,223,-784,1069,567,880
366,245,-789,966,492,786
323,268,-792,861,436,692
287,290,-800,755,388,602
256,313,-812,656,336,515
228,336,-826,569,277,435
205,357,-834,494,208,360
184,378,-836,427,139,290
170,400,-832,363,71,220
161,422,-826,301,7,149
155,443,-816,238,-61,74
146,463,-802,174,-123,1
142,482,-784,105,-173,-70
139,499,-767,37,-213,-139
139,518,-746,-31,-248,-205
145,535,-721,-98,-284,-271
151,553,-694,-165,-324,-335
