-448,502,748,-32,-45,19
-445,501,751,-32,-47,17
-441,499,754,-31,-48,17
-438,497,756,-32,-47,18
-438,494,758,-31,-45,20
-438,491,760,-31,-44,24
-439,486,761,-30,-46,28
-440,480,764,-30,-48,31
-441,474,766,-33,-49,33
-444,465,768,-37,-49,34
-447,455,768,-43,-51,33
-451,443,771,-50,-54,28
-455,428,773,-59,-59,21
-461,411,776,-70,-63,10
-472,391,776,-80,-69,-4
-484,368,775,-89,-76,-22
-495,340,774,-97,-90,-47
-505,310,774,-104,-107,-80
-513,277,773,-110,-128,-127
-518,245,769,-113,-153,-184
-521,213,765,-112,-190,-255
-517,182,762,-108,-231,-334
-504,153,763,-103,-271,-421
-488,126,765,-98,-309,-520
-471,102,766,-94,-348,-625
-449,78,767,-85,-390,-737
-420,51,772,-73,-432,-853
-382,19,775,-46,-482,-983
-336,-15,773,-4,-538,-1125
-266,-48,754,71,-591,-1293
-160,-78,731,166,-639,-1487
-18,-106,715,261,-670,-1712
188,-111,678,343,-678,-1986
428,-80,654,403,-670,-2280
586,-53,625,383,-599,-2497
699,-28,607,302,-512,-2556
802,14,588,203,-464,-2437
888,50,576,134,-435,-2229
958,72,571,109,-403,-1971
1005,86,575,122,-367,-1707
1034,96,586,158,-327,-1465
1061,102,603,198,-295,-1264
1087,111,621,229,-266,-1113
1103,125,634,237,-223,-1014
1109,134,643,224,-167,-940
1105,136,650,191,-103,-876
1091,134,653,145,-37,-811
1065,134,653,96,20,-739
1038,132,654,56,62,-654
1012,125,659,31,91,-566
993,118,666,24,120,-475
975,111,678,29,149,-389
953,105,688,46,180,-303
927,102,694,72,206,-217
904,101,701,104,218,-131
884,105,710,136,229,-48
861,113,721,163,246,31
835,122,733,181,265,107
809,132,743,193,280,181
782,144,755,198,301,251
754,158,766,201,326,318
722,170,776,204,347,382
694,180,784,208,359,442
665,192,788,216,369,496
629,208,787,230,376,546
594,225,786,250,370,595
563,242,788,271,359,642
537,260,788,291,349,683
502,279,787,309,345,724
